P000039, 2, 3, 9, 0, -1, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 54, 54, 0, 42, 1, 7, 6, 6, 0, 0, 0, 1, 9, 7, 1, 6, 6, 
P000043, 2, 3, 9, 0, -1, -11, 0, 0, 0, 5, 0, 35, 0, 12, 0, 13, 0, 0, 32, 0, 40, 840, 0, 0, 0, 0, 8, 0, 24, 0, 4, 5, 7, 8, 8, 3, 
P000058, 2, 3, 9, 0, -1, -11, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 168, 0, 0, 24, 0, 0, 14, 7, 13, 42, 6, 3, 4, 4, 2, 7, 6, 
P000060, 2, 3, 9, 0, -1, -11, 0, 0, 0, 5, 14, 45, 9, 13, 0, 0, 0, 0, 40, 1200, 0, 0, 81, 0, 0, 0, 0, 0, 54, 0, 5, 5, 9, 8, 6, 9, 
P000081, 2, 3, 9, 0, -1, -11, 8, 10, 16, 2, 0, 0, 0, 0, 0, 11, 0, 0, 0, 864, 18, 0, 63, 0, 0, 54, 0, 0, 0, 0, 8, 2, 7, 6, 9, 9, 
P000084, 2, 3, 9, 0, -1, -11, 3, 12, 27, 9, 0, 0, 0, 0, 0, 0, 0, 17, 15, 540, 36, 0, 72, 0, 0, 0, 0, 0, 0, 0, 3, 9, 9, 5, 4, 8, 
P000085, 2, 3, 9, 0, -1, -11, 0, 0, 0, 3, 0, 3, 0, 8, 0, 11, 0, 0, 15, 0, 24, 168, 0, 0, 0, 0, 8, 0, 56, 0, 3, 3, 1, 5, 8, 7, 
P000091, 2, 3, 9, 0, -1, -11, 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 60, 12, 0, 21, 1, 5, 4, 4, 0, 0, 0, 5, 3, 3, 1, 4, 7, 
P000101, 2, 3, 9, 0, -1, -11, 2, 0, 16, 0, 0, 0, 0, 8, 0, 0, 0, 7, 12, 0, 0, 560, 10, 6, 0, 42, 0, 0, 0, 0, 2, 8, 5, 6, 7, 2, 
P000130, 2, 3, 9, 0, -1, -11, 0, 11, 30, 6, 0, 0, 0, 0, 0, 8, 0, 0, 0, 60, 12, 0, 40, 0, 0, 2, 2, 0, 0, 0, 5, 6, 8, 1, 2, 5, 
P000138, 2, 3, 9, 0, -1, -11, 0, 11, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 18, 0, 0, 2, 1, 7, 6, 6, 2, 9, 3, 2, 1, 6, 
P000004, 2, 3, 9, 0, -1, -11, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 280, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 5, 6, 8, 7, 7, 
