1,5,9,20,4,5,6,8,4
2,8,12,32,4,7,8,6,4
3,1,4,3,3,7,1,4,3
4,4,10,24,6,2,4,8,6
5,7,13,42,6,4,7,4,6
6,8,13,40,5,6,8,1,5
7,3,8,15,5,1,3,6,5
8,6,13,42,7,6,9,4,7
9,7,8,7,1,3,7,1,3
10,5,9,20,4,1,5,2,4
11,2,11,18,9,5,2,5,9
12,8,15,56,7,1,8,7,6
13,3,10,21,7,6,3,5,7
14,3,5,6,2,3,6,2,5
15,1,6,5,5,4,1,7,5
16,4,13,36,9,3,4,9,6
17,4,10,24,6,3,4,6,5
18,1,10,9,9,8,1,4,9
19,6,7,6,1,9,6,1,4
20,4,13,36,9,2,4,7,9
21,8,11,24,3,1,8,7,3
22,2,3,2,1,9,2,8,1
23,3,12,27,9,1,3,8,9
24,6,9,18,3,6,4,3,7
25,5,11,30,6,5,7,6,1
26,7,16,63,9,3,7,1,9
27,7,10,21,3,7,9,3,6
28,7,11,28,4,5,7,4,8
29,7,10,21,3,7,2,4,3
30,5,6,5,1,3,5,1,3
31,8,12,32,4,8,5,3,4
32,6,15,54,9,7,6,9,7
33,2,6,8,4,3,2,4,3
34,3,7,12,4,7,3,4,2
35,4,11,28,7,4,2,5,7
36,5,12,35,7,5,3,7,1
37,7,13,42,6,7,5,6,4
38,5,7,10,2,3,5,2,6
39,2,9,14,7,2,6,3,7
40,4,10,24,6,8,4,6,3
41,6,11,30,5,6,7,4,5
42,8,12,32,4,6,8,4,6
43,1,6,5,5,1,3,5,3
44,3,7,12,4,3,6,2,4
45,5,8,15,3,6,5,3,1
46,7,9,14,2,7,8,2,1
47,9,10,9,1,5,9,1,5
48,7,9,14,2,4,7,2,5
49,6,9,18,3,6,7,2,3
50,5,9,20,4,6,5,3,4
