1,2,0,8,4,9,20,5,6,2,4,6,5,1
2,3,9,18,6,0,36,6,2,3,7,6,4,6
3,9,0,45,5,8,15,3,9,2,5,7,3,2
4,2,0,14,7,0,28,4,2,1,6,7,2,4
5,3,5,6,2,0,8,4,5,3,2,7,4,3
6,3,0,18,6,0,48,8,2,3,5,6,4,8
7,6,10,24,4,0,20,5,6,2,3,4,5,2
8,4,0,36,9,0,63,7,2,4,9,6,7,3
9,2,0,14,7,16,63,9,3,2,4,7,5,9
10,7,15,56,8,0,40,5,7,6,8,7,5,2
11,9,11,18,2,0,8,4,9,7,3,2,1,4
12,3,0,15,5,0,45,9,3,4,5,2,9,7
13,3,6,9,3,0,27,9,2,3,3,5,4,9
14,8,0,72,9,13,36,4,8,7,2,9,3,4
15,9,15,54,6,0,48,8,7,9,5,6,8,4
16,7,16,0,9,0,36,4,7,6,9,8,4,3
17,5,8,15,3,0,27,9,4,5,2,3,7,9
18,5,0,35,7,16,63,9,5,4,7,6,9,8
19,9,14,0,5,7,10,2,9,7,3,5,1,2
20,5,12,35,7,15,0,8,4,5,7,6,8,7
21,1,0,9,9,17,0,8,2,1,8,9,7,8
22,6,0,54,9,16,0,7,6,5,9,8,7,6
23,9,17,0,8,0,48,6,7,9,8,6,4,6
24,9,16,0,7,0,28,4,9,7,5,7,4,2
25,8,17,0,9,0,27,3,6,8,7,9,1,3
26,7,0,56,8,0,32,4,7,8,8,9,4,5
27,2,0,14,7,16,0,9,1,2,6,7,9,8
28,7,0,49,7,13,0,6,7,9,7,8,9,6
29,9,0,81,9,12,0,3,7,9,8,9,1,3
30,7,15,0,8,0,64,8,7,9,8,5,8,4
31,8,16,0,8,0,24,3,9,8,5,8,8,3
32,9,16,0,7,0,42,6,9,7,7,5,6,4
33,6,0,54,9,17,0,8,4,6,7,9,6,8
34,6,13,0,7,0,14,2,6,8,7,9,2,4
35,5,0,40,8,17,0,9,5,6,9,8,3,9
36,6,13,0,7,0,21,3,6,8,7,9,3,5
37,9,17,0,8,0,16,2,7,9,6,8,1,2
38,3,0,21,7,15,0,8,1,3,7,5,8,6
39,9,18,0,9,0,27,3,9,8,9,7,1,3
40,9,18,0,9,0,72,8,7,9,8,9,8,6
41,4,0,28,7,15,0,8,4,2,5,7,6,8
42,3,0,27,9,17,0,8,2,3,9,8,8,7
43,5,0,45,9,17,0,8,5,3,7,9,8,9
44,8,0,24,3,4,0,1,5,8,3,5,5,1
45,7,0,35,5,7,0,2,7,9,8,5,4,2
46,5,6,0,1,0,8,8,6,5,1,2,8,9
47,8,15,0,7,0,21,3,8,9,9,7,5,3
48,7,14,0,7,0,28,4,7,6,7,5,4,2
49,9,18,0,9,0,9,1,8,9,7,9,5,1
50,7,10,0,3,0,9,3,7,6,3,1,3,6
