1	5	0	20	4	12	32	8	0	56	7
2	6	0	30	5	0	15	3	12	0	9
3	7	0	49	7	15	0	8	12	0	4
4	4	0	32	8	0	24	3	0	15	5
5	6	13	0	7	0	21	3	0	24	8
6	3	0	18	6	0	42	7	12	0	5
7	6	0	54	9	14	0	5	0	30	6
8	2	0	14	7	14	0	7	15	0	8
9	5	13	0	8	0	56	7	0	21	3
10	8	0	64	8	12	0	4	0	36	9
11	9	0	54	6	8	0	2	7	0	5
12	5	14	0	9	0	54	6	0	42	7
13	2	0	12	6	0	48	8	0	24	3
14	6	0	54	9	13	0	4	0	32	8
15	7	15	0	8	0	40	5	0	10	2
16	8	0	56	7	0	28	4	8	0	4
17	8	11	24	3	12	0	9	0	9	1
18	4	0	8	2	0	14	7	16	0	9
19	6	0	24	4	9	0	5	0	40	8
20	9	15	0	6	0	18	3	0	21	7
21	6	12	0	2	0	2	1	0	9	9
22	2	0	5	3	0	24	8	16	0	8
23	6	18	0	3	0	21	7	0	49	7
24	9	81	0	9	14	0	5	0	20	4
25	6	18	0	3	0	21	7	0	35	5
26	7	14	0	2	3	0	1	0	8	8
27	8	48	0	6	0	12	2	0	6	3
28	7	28	0	4	0	12	3	0	24	8
29	6	18	0	3	0	3	1	0	5	5
30	6	6	0	1	3	0	2	0	14	7
31	6	30	0	5	0	45	9	0	72	8
32	5	35	0	7	0	56	8	0	72	9
33	1	9	0	9	13	0	4	0	8	2
34	7	7	0	1	0	3	3	0	9	3
35	1	6	0	6	13	0	7	0	63	9
36	9	18	0	2	5	0	3	0	9	3
37	3	21	0	7	11	0	4	0	4	1
38	7	0	14	7	0	28	4	12	0	8
39	1	0	3	2	0	10	5	11	0	6
40	8	32	0	4	0	28	7	0	14	2
41	9	36	0	4	0	32	8	0	64	8
42	8	0	13	5	0	35	7	15	0	8
43	4	24	0	6	7	0	1	0	7	7
44	2	2	0	1	0	4	4	0	24	6
45	5	35	0	7	10	0	3	0	9	3
46	7	35	0	5	0	5	1	0	8	8
47	4	36	0	9	0	45	5	0	30	6
48	1	8	0	8	10	0	2	0	10	5
49	3	21	0	7	0	42	6	0	18	3
50	7	49	0	7	0	28	4	0	8	2

