1,5,0,20,4,12,32,8,0,56,7,5,2,4,2,8,6,7,5
2,6,0,30,5,0,15,3,12,0,9,8,6,7,5,5,3,2,9
3,7,0,49,7,15,0,8,12,0,4,7,6,7,5,8,7,4,3
4,4,0,32,8,0,24,3,0,15,5,4,3,7,8,2,3,4,5
5,6,13,0,7,0,21,3,0,24,8,7,6,7,8,3,4,8,3
6,3,0,18,6,0,42,7,12,0,5,5,3,8,6,9,7,6,5
7,6,0,54,9,14,0,5,0,30,6,6,3,9,6,5,2,6,3
8,2,0,14,7,14,0,7,15,0,8,1,2,7,5,6,7,2,8
9,5,13,0,8,0,56,7,0,21,3,5,6,9,8,7,8,3,4
10,8,0,64,8,12,0,4,0,36,9,7,8,6,8,3,4,8,9
11,9,0,54,6,8,0,2,7,0,5,9,6,6,3,2,9,5,1
12,5,14,0,9,0,54,6,0,42,7,3,5,7,9,6,4,5,7
13,2,0,12,6,0,48,8,0,24,3,2,5,6,9,1,8,3,6
14,6,0,54,9,13,0,4,0,32,8,4,6,7,9,2,4,6,8
15,7,15,0,8,0,40,5,0,10,2,7,8,8,9,5,6,2,3
16,8,0,56,7,0,28,4,8,0,4,9,8,8,7,5,4,4,6
17,8,11,24,3,12,0,9,0,9,1,8,6,3,1,9,7,8,1
18,4,0,8,2,0,14,7,16,0,9,3,4,1,2,6,7,8,9
19,6,0,24,4,9,0,5,0,40,8,6,7,4,5,5,6,8,9
20,9,15,0,6,0,18,3,0,21,7,8,9,5,6,2,3,6,7
21,6,12,0,2,0,2,1,0,9,9,6,5,2,1,1,9,9,8
22,2,0,5,3,0,24,8,16,0,8,2,1,2,3,7,8,6,8
23,6,18,0,3,0,21,7,0,49,7,8,6,3,5,7,8,7,9
24,9,81,0,9,14,0,5,0,20,4,8,9,7,9,4,5,3,4
25,6,18,0,3,0,21,7,0,35,5,6,8,3,5,7,9,5,8
26,7,14,0,2,3,0,1,0,8,8,9,7,2,4,3,1,2,8
27,8,48,0,6,0,12,2,0,6,3,8,9,7,6,2,3,3,4
28,7,28,0,4,0,12,3,0,24,8,9,7,6,4,5,3,1,8
29,6,18,0,3,0,3,1,0,5,5,6,9,3,6,1,4,5,8
30,6,6,0,1,3,0,2,0,14,7,8,6,3,1,2,4,9,7
31,6,30,0,5,0,45,9,0,72,8,6,5,5,4,8,9,8,7
32,5,35,0,7,0,56,8,0,72,9,3,5,7,5,8,6,7,9
33,1,9,0,9,13,0,4,0,8,2,1,5,4,9,8,4,2,6
34,7,7,0,1,0,3,3,0,9,3,9,7,3,1,3,5,6,3
35,1,6,0,6,13,0,7,0,63,9,1,8,6,4,7,5,9,7
36,9,18,0,2,5,0,3,0,9,3,7,9,8,2,1,3,9,3
37,3,21,0,7,11,0,4,0,4,1,3,5,7,9,6,4,1,3
38,7,0,14,7,0,28,4,12,0,8,8,7,9,7,4,6,8,9
39,1,0,3,2,0,10,5,11,0,6,1,4,2,5,8,5,9,6
40,8,32,0,4,0,28,7,0,14,2,7,8,3,4,7,6,1,2
41,9,36,0,4,0,32,8,0,64,8,9,2,4,6,1,8,8,3
42,8,0,13,5,0,35,7,15,0,8,6,8,3,5,7,5,3,8
43,4,24,0,6,7,0,1,0,7,7,4,5,6,7,1,2,7,8
44,2,2,0,1,0,4,4,0,24,6,3,2,2,1,5,4,7,6
45,5,35,0,7,10,0,3,0,9,3,5,3,4,7,1,3,3,2
46,7,35,0,5,0,5,1,0,8,8,5,7,5,3,1,8,5,8
47,4,36,0,9,0,45,5,0,30,6,4,3,8,9,5,4,6,5
48,1,8,0,8,10,0,2,0,10,5,2,1,8,9,2,3,6,5
49,3,21,0,7,0,42,6,0,18,3,5,3,9,7,8,6,3,5
50,7,49,0,7,0,28,4,0,8,2,7,9,7,8,4,5,6,2
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
