P000498, 3, 3, 9, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 120, 0, 0, 32, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 48, 0, -1, 0, 0, 54, 0, -1, -1, 0, 1, 5, 4, 3, 8, 8, 9, 6, -1, 
P000255, 3, 3, 9, 0, -1, -1, 0, 0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 20, 0, 0, 36, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 48, 0, -1, -1, 0, 2, 2, 6, 1, 5, 6, 6, 8, -1, 
P000133, 3, 3, 9, 0, -1, -1, 0, 10, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 14, 0, 24, 0, -1, 0, 0, 0, 0, -1, -1, 0, 5, 5, 1, 2, 6, 7, 7, 4, -1, 
P000086, 3, 3, 9, 0, -1, -1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 24, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 42, 0, -1, -1, 0, 1, 6, 8, 9, 4, 4, 6, 7, -1, 
P000309, 3, 3, 9, 0, -1, -1, 0, 0, 8, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 288, 0, 0, 10, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 14, 0, -1, -1, 0, 1, 8, 5, 4, 9, 2, 2, 7, -1, 
P000186, 3, 3, 9, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 504, 8, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 42, 0, -1, -1, 0, 4, 7, 2, 3, 9, 4, 7, 6, -1, 
P000001, 3, 3, 9, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 60, 0, 0, 21, 0, 0, 12, 0, 0, 0, 0, 0, 0, 9, 0, -1, 0, 0, 0, 0, -1, 0, 0, 54, 0, -1, -1, 0, 5, 1, 7, 4, 3, 3, 9, 6, -1, 
P000243, 3, 3, 9, 0, -1, -1, 0, 12, 0, 0, 0, 54, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 225, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 3, 9, 6, 1, 9, 8, 5, 5, -1, 
P000123, 3, 3, 9, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 12, 0, 20, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, -1, 24, 0, 0, 0, -1, 0, 0, 72, 0, -1, -1, 0, 5, 6, 4, 3, 2, 5, 8, 9, -1, 
P000487, 3, 3, 9, 0, -1, -1, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, -1, 6, 120, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 3, 7, 7, 3, 4, 2, 2, 5, -1, 
P000464, 3, 3, 9, 0, -1, -1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 11, 0, 8, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 50, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 6, 9, 1, 5, 2, 7, 5, 1, -1, 
